times,price
2017-05-18 09:00:00,2993.02
2017-05-18 09:00:01,2992.75
2017-05-18 09:00:02,2993.35
2017-05-18 09:00:03,2993.08
2017-05-18 09:00:04,2993.75
2017-05-18 09:00:05,2993.79
2017-05-18 09:00:06,2993.38
2017-05-18 09:00:07,2993.17
2017-05-18 09:00:08,2993.78
2017-05-18 09:00:09,2993.51
2017-05-18 09:00:10,2993.23
2017-05-18 09:00:11,2993.12
2017-05-18 09:00:12,2993.45
2017-05-18 09:00:13,2993.62
2017-05-18 09:00:14,2993.6
2017-05-18 09:00:15,2994.17
2017-05-18 09:00:16,2994.18
2017-05-18 09:00:17,2994.39
2017-05-18 09:00:18,2994.12
2017-05-18 09:00:19,2994.19
2017-05-18 09:00:20,2994.42
2017-05-18 09:00:21,2994.51
2017-05-18 09:00:22,2993.8
2017-05-18 09:00:23,2994.14
2017-05-18 09:00:24,2993.74
2017-05-18 09:00:25,2993.5
2017-05-18 09:00:26,2993.68
2017-05-18 09:00:27,2993.6
2017-05-18 09:00:28,2993.8
2017-05-18 09:00:29,2993.5
2017-05-18 09:00:30,2993.37
2017-05-18 09:00:31,2993.86
2017-05-18 09:00:32,2993.46
2017-05-18 09:00:33,2993.13
2017-05-18 09:00:34,2992.51
2017-05-18 09:00:35,2992.47
2017-05-18 09:00:36,2991.38
2017-05-18 09:00:37,2991.83
2017-05-18 09:00:38,2992.02
2017-05-18 09:00:39,2991.9
2017-05-18 09:00:40,2991.87
2017-05-18 09:00:41,2991.52
2017-05-18 09:00:42,2991.57
2017-05-18 09:00:43,2991.35
2017-05-18 09:00:44,2991.92
2017-05-18 09:00:45,2991.73
2017-05-18 09:00:46,2992.09
2017-05-18 09:00:47,2991.51
2017-05-18 09:00:48,2991.71
2017-05-18 09:00:49,2992.05
2017-05-18 09:00:50,2992.42
2017-05-18 09:00:51,2992.67
2017-05-18 09:00:52,2992.91
2017-05-18 09:00:53,2993.32
2017-05-18 09:00:54,2993.68
2017-05-18 09:00:55,2993.85
2017-05-18 09:00:56,2993.98
2017-05-18 09:00:57,2994.93
