times,price
2017-04-14 09:00:00,3001.96
2017-04-14 09:00:01,3001.7
2017-04-14 09:00:02,3001.04
2017-04-14 09:00:03,3000.38
2017-04-14 09:00:04,2999.75
2017-04-14 09:00:05,2998.96
2017-04-14 09:00:06,2998.41
2017-04-14 09:00:07,2998.86
2017-04-14 09:00:08,2998.71
2017-04-14 09:00:09,2998.33
2017-04-14 09:00:10,2997.14
2017-04-14 09:00:11,2997.43
2017-04-14 09:00:12,2997.4
2017-04-14 09:00:13,2997.32
2017-04-14 09:00:14,2997.08
2017-04-14 09:00:15,2997.08
2017-04-14 09:00:16,2997.1
2017-04-14 09:00:17,2997.44
2017-04-14 09:00:18,2997.08
2017-04-14 09:00:19,2997.61
2017-04-14 09:00:20,2998.17
2017-04-14 09:00:21,2997.94
2017-04-14 09:00:22,2998.46
2017-04-14 09:00:23,2999.04
2017-04-14 09:00:24,2998.75
2017-04-14 09:00:25,2998.77
2017-04-14 09:00:26,2998.85
2017-04-14 09:00:27,2999.02
2017-04-14 09:00:28,2998.88
2017-04-14 09:00:29,2998.78
2017-04-14 09:00:30,2998.14
2017-04-14 09:00:31,2998.29
2017-04-14 09:00:32,2997.71
2017-04-14 09:00:33,2997.23
2017-04-14 09:00:34,2997.38
2017-04-14 09:00:35,2997.14
2017-04-14 09:00:36,2997.12
2017-04-14 09:00:37,2996.53
2017-04-14 09:00:38,2996.63
2017-04-14 09:00:39,2996.61
2017-04-14 09:00:40,2996.54
2017-04-14 09:00:41,2996.35
2017-04-14 09:00:42,2995.95
2017-04-14 09:00:43,2995.52
2017-04-14 09:00:44,2996.25
2017-04-14 09:00:45,2996.51
2017-04-14 09:00:46,2996.48
2017-04-14 09:00:47,2996.13
2017-04-14 09:00:48,2996.05
2017-04-14 09:00:49,2995.34
2017-04-14 09:00:50,2995.18
2017-04-14 09:00:51,2995.54
2017-04-14 09:00:52,2995.61
2017-04-14 09:00:53,2995.25
2017-04-14 09:00:54,2995.26
2017-04-14 09:00:55,2995.44
2017-04-14 09:00:56,2995.69
2017-04-14 09:00:57,2995.73
2017-04-14 09:00:58,2996.15
2017-04-14 09:00:59,2996.61
2017-04-14 09:01:00,2996.53
2017-04-14 09:01:01,2996.25
2017-04-14 09:01:02,2996.12
2017-04-14 09:01:03,2996.37
2017-04-14 09:01:04,2996.2
2017-04-14 09:01:05,2996.26
2017-04-14 09:01:06,2996.12
2017-04-14 09:01:07,2996.4
2017-04-14 09:01:08,2996.65
2017-04-14 09:01:09,2996.69
2017-04-14 09:01:10,2996.86
2017-04-14 09:01:11,2997.04
2017-04-14 09:01:12,2996.69
2017-04-14 09:01:13,2996.92
2017-04-14 09:01:14,2996.03
2017-04-14 09:01:15,2996.52
2017-04-14 09:01:16,2995.87
2017-04-14 09:01:17,2996.01
2017-04-14 09:01:18,2995.84
2017-04-14 09:01:19,2995.2
2017-04-14 09:01:20,2995.52
2017-04-14 09:01:21,2995.09
2017-04-14 09:01:22,2995.38
2017-04-14 09:01:23,2995.13
2017-04-14 09:01:24,2995.27
2017-04-14 09:01:25,2995.49
2017-04-14 09:01:26,2995.58
2017-04-14 09:01:27,2995.75
2017-04-14 09:01:28,2995.14
2017-04-14 09:01:29,2994.77
2017-04-14 09:01:30,2995.16
2017-04-14 09:01:31,2995.55
2017-04-14 09:01:32,2995.48
2017-04-14 09:01:33,2995.44
2017-04-14 09:01:34,2995.62
2017-04-14 09:01:35,2995.15
2017-04-14 09:01:36,2995.1
2017-04-14 09:01:37,2995.23
2017-04-14 09:01:38,2995.0
2017-04-14 09:01:39,2994.59
2017-04-14 09:01:40,2995.33
2017-04-14 09:01:41,2995.75
2017-04-14 09:01:42,2995.65
2017-04-14 09:01:43,2996.25
2017-04-14 09:01:44,2995.97
2017-04-14 09:01:45,2995.4
2017-04-14 09:01:46,2994.47
2017-04-14 09:01:47,2994.28
2017-04-14 09:01:48,2994.16
2017-04-14 09:01:49,2993.85
2017-04-14 09:01:50,2994.11
2017-04-14 09:01:51,2994.06
2017-04-14 09:01:52,2994.56
2017-04-14 09:01:53,2995.18
2017-04-14 09:01:54,2995.87
2017-04-14 09:01:55,2995.61
2017-04-14 09:01:56,2995.8
2017-04-14 09:01:57,2995.64
2017-04-14 09:01:58,2995.53
2017-04-14 09:01:59,2995.84
2017-04-14 09:02:00,2996.23
2017-04-14 09:02:01,2996.23
2017-04-14 09:02:02,2995.39
2017-04-14 09:02:03,2996.27
2017-04-14 09:02:04,2996.0
2017-04-14 09:02:05,2995.89
2017-04-14 09:02:06,2996.0
2017-04-14 09:02:07,2995.95
2017-04-14 09:02:08,2995.72
2017-04-14 09:02:09,2996.18
2017-04-14 09:02:10,2996.59
2017-04-14 09:02:11,2996.66
2017-04-14 09:02:12,2996.63
2017-04-14 09:02:13,2996.82
2017-04-14 09:02:14,2996.15
2017-04-14 09:02:15,2996.63
2017-04-14 09:02:16,2996.93
2017-04-14 09:02:17,2996.82
2017-04-14 09:02:18,2996.79
2017-04-14 09:02:19,2997.23
2017-04-14 09:02:20,2997.44
2017-04-14 09:02:21,2997.67
2017-04-14 09:02:22,2997.3
2017-04-14 09:02:23,2997.71
2017-04-14 09:02:24,2998.22
2017-04-14 09:02:25,2998.01
2017-04-14 09:02:26,2997.92
2017-04-14 09:02:27,2998.13
2017-04-14 09:02:28,2998.06
2017-04-14 09:02:29,2997.87
2017-04-14 09:02:30,2997.87
2017-04-14 09:02:31,2997.68
2017-04-14 09:02:32,2998.12
2017-04-14 09:02:33,2997.71
2017-04-14 09:02:34,2997.62
2017-04-14 09:02:35,2997.24
2017-04-14 09:02:36,2997.5
2017-04-14 09:02:37,2997.72
2017-04-14 09:02:38,2997.8
2017-04-14 09:02:39,2997.94
2017-04-14 09:02:40,2997.9
2017-04-14 09:02:41,2997.94
2017-04-14 09:02:42,2998.67
2017-04-14 09:02:43,2998.9
2017-04-14 09:02:44,2999.03
2017-04-14 09:02:45,2999.37
2017-04-14 09:02:46,2999.64
2017-04-14 09:02:47,2999.43
2017-04-14 09:02:48,2999.85
2017-04-14 09:02:49,2999.75
2017-04-14 09:02:50,3000.06
2017-04-14 09:02:51,3000.25
2017-04-14 09:02:52,3000.05
2017-04-14 09:02:53,2999.49
2017-04-14 09:02:54,2999.28
2017-04-14 09:02:55,2998.93
2017-04-14 09:02:56,2998.52
2017-04-14 09:02:57,2998.57
2017-04-14 09:02:58,2999.56
2017-04-14 09:02:59,2999.68
2017-04-14 09:03:00,3000.07
2017-04-14 09:03:01,3000.06
2017-04-14 09:03:02,3000.35
2017-04-14 09:03:03,3000.12
2017-04-14 09:03:04,3000.7
2017-04-14 09:03:05,3000.79
2017-04-14 09:03:06,3001.12
2017-04-14 09:03:07,3001.17
2017-04-14 09:03:08,3000.99
2017-04-14 09:03:09,3000.52
2017-04-14 09:03:10,3001.46
2017-04-14 09:03:11,3001.43
2017-04-14 09:03:12,3001.45
2017-04-14 09:03:13,3002.03
2017-04-14 09:03:14,3002.18
2017-04-14 09:03:15,3002.65
2017-04-14 09:03:16,3003.09
2017-04-14 09:03:17,3003.43
2017-04-14 09:03:18,3003.37
2017-04-14 09:03:19,3002.59
2017-04-14 09:03:20,3002.91
2017-04-14 09:03:21,3003.15
2017-04-14 09:03:22,3003.6
2017-04-14 09:03:23,3003.77
